FULLGAME_STRATEGY_V1
ITER	12000
INFOSET	FOLD	CHECK	CALL	BET	RAISE	ALL_IN	VISITS
flop|seat=0|bucket=0|tc=0|pot=0|n=2|h=ck	0.0000000000	0.3058773883	0.0000000000	0.6607892784	0.0000000000	0.0333333333	20
flop|seat=0|bucket=0|tc=0|pot=0|n=2|h=ckk	0.0000000000	0.4757190066	0.0000000000	0.4850653071	0.0000000000	0.0392156863	17
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=crc	0.0000000000	0.4711916091	0.0000000000	0.4732528353	0.0000000000	0.0555555556	18
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=crck	0.0000000000	0.4945833266	0.0000000000	0.4448106128	0.0000000000	0.0606060606	11
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=crrc	0.0000000000	0.3445821569	0.0000000000	0.3350806791	0.0000000000	0.3203371640	8
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=rc	0.0000000000	0.0654536902	0.0000000000	0.9089052841	0.0000000000	0.0256410256	13
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=rck	0.0000000000	0.4364823340	0.0000000000	0.4458706072	0.0000000000	0.1176470588	17
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=rrc	0.0000000000	0.3124617397	0.0000000000	0.5208715936	0.0000000000	0.1666666667	10
flop|seat=0|bucket=0|tc=0|pot=1|n=2|h=rrck	0.0000000000	0.5076893718	0.0000000000	0.4367550726	0.0000000000	0.0555555556	12
flop|seat=0|bucket=0|tc=0|pot=2|n=2|h=rrrc	0.0000000000	0.4947688624	0.0000000000	0.4635644710	0.0000000000	0.0416666667	8
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=ckb	0.0156250000	0.0000000000	0.0156250000	0.0000000000	0.9531250000	0.0156250000	16
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=ckbr	0.1250000000	0.0000000000	0.1250000000	0.0000000000	0.1250000000	0.6250000000	8
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=ckkb	0.3002573488	0.0000000000	0.3217420807	0.0000000000	0.3065719991	0.0714285714	7
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=crcb	0.2649351982	0.0000000000	0.4167059785	0.0000000000	0.3016921566	0.0166666667	15
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=rcb	0.2735786271	0.0000000000	0.3192596869	0.0000000000	0.2895146272	0.1176470588	17
flop|seat=0|bucket=0|tc=1|pot=1|n=2|h=rckb	0.2960175105	0.0000000000	0.3267594750	0.0000000000	0.3147230145	0.0625000000	4
flop|seat=0|bucket=0|tc=1|pot=2|n=2|h=rcbr	0.2734012771	0.0000000000	0.3216910239	0.0000000000	0.2977648419	0.1071428571	7
flop|seat=0|bucket=0|tc=1|pot=2|n=2|h=rrcb	0.2609583980	0.0000000000	0.3707191468	0.0000000000	0.3001406370	0.0681818182	11
